"iso","region","subregion","name"
2,,,"Africa a/"
14,,,"Eastern Africa"
108,"Africa","Eastern Africa","Burundi"
174,"Africa","Eastern Africa","Comoros"
262,"Africa","Eastern Africa","Djibouti"
232,"Africa","Eastern Africa","Eritrea"
231,"Africa","Eastern Africa","Ethiopia"
404,"Africa","Eastern Africa","Kenya"
450,"Africa","Eastern Africa","Madagascar"
454,"Africa","Eastern Africa","Malawi"
480,"Africa","Eastern Africa","Mauritius"
175,"Africa","Eastern Africa","Mayotte"
508,"Africa","Eastern Africa","Mozambique"
638,"Africa","Eastern Africa","Réunion"
646,"Africa","Eastern Africa","Rwanda"
690,"Africa","Eastern Africa","Seychelles"
706,"Africa","Eastern Africa","Somalia"
800,"Africa","Eastern Africa","Uganda"
834,"Africa","Eastern Africa","United Republic of Tanzania"
894,"Africa","Eastern Africa","Zambia"
716,"Africa","Eastern Africa","Zimbabwe"
" ",,," "
17,,,"Middle Africa"
24,"Africa","Middle Africa","Angola"
120,"Africa","Middle Africa","Cameroon"
140,"Africa","Middle Africa","Central African Republic"
148,"Africa","Middle Africa","Chad"
178,"Africa","Middle Africa","Congo"
180,"Africa","Middle Africa","Democratic Republic of the Congo"
226,"Africa","Middle Africa","Equatorial Guinea"
266,"Africa","Middle Africa","Gabon"
678,"Africa","Middle Africa","Sao Tome and Principe"
" ",,," "
15,,,"Northern Africa"
12,"Africa","Northern Africa","Algeria"
818,"Africa","Northern Africa","Egypt"
434,"Africa","Northern Africa","Libyan Arab Jamahiriya"
504,"Africa","Northern Africa","Morocco"
736,"Africa","Northern Africa","Sudan"
788,"Africa","Northern Africa","Tunisia"
732,"Africa","Northern Africa","Western Sahara"
" ",,," "
18,,,"Southern Africa"
72,"Africa","Southern Africa","Botswana"
426,"Africa","Southern Africa","Lesotho"
516,"Africa","Southern Africa","Namibia"
710,"Africa","Southern Africa","South Africa"
748,"Africa","Southern Africa","Swaziland"
" ",,," "
11,,,"Western Africa"
204,"Africa","Western Africa","Benin"
854,"Africa","Western Africa","Burkina Faso"
132,"Africa","Western Africa","Cape Verde"
384,"Africa","Western Africa","Cote d'Ivoire"
270,"Africa","Western Africa","Gambia"
